numero,type,soustype,adresse,code_postal,ville,arrondissement,conseilquartier,datedecl,anneedecl,moisdecl,prefixe,intervenant,id_dmr,geo_shape,geo_point_2d,mois_annee_decla
45747,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","14 Rue Charlemagne, 75004 PARIS",75004,Paris 04,4,re - SEINE,2023-10-15,2023,10,IOPage DMR Paris.fr application,graffitis,A2023J045747,"{'type': 'Feature', 'geometry': {'coordinates': [2.360953331328551, 48.85416030796383], 'type': 'Point'}, 'properties': {}}","{'lon': 2.360953331328551, 'lat': 48.85416030796383}",2023-10
56391,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","27 boulevard Henri IV, 75004 PARIS",75004,Paris 04,4,re - SEINE,2023-09-21,2023,9,Page DMR Paris.fr,graffitis,S2023I056391,"{'type': 'Feature', 'geometry': {'coordinates': [2.364789246950968, 48.852005004153646], 'type': 'Point'}, 'properties': {}}","{'lon': 2.364789246950968, 'lat': 48.852005004153646}",2023-09
23223,Propreté,Déjections canines,"16 Rue Laugier, 75017 PARIS",75017,Paris 17,17,COURCELLES - WAGRAM,2024-06-08,2024,6,IOPage DMR Paris.fr application,DPE-STPP-DT,A2024F023223,"{'type': 'Feature', 'geometry': {'coordinates': [2.2966346736305456, 48.88033294589218], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2966346736305456, 'lat': 48.88033294589218}",2024-06
33339,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","14 Rue Beautreillis, 75004 PARIS",75004,Paris 04,4,re - SEINE,2024-07-10,2024,7,IOPage DMR Paris.fr application,graffitis,A2024G033339,"{'type': 'Feature', 'geometry': {'coordinates': [2.3639547830120473, 48.85306930427027], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3639547830120473, 'lat': 48.85306930427027}",2024-07
12857,Activités commerciales et professionnelles,Étalages et terrasses à usage commercial : Nuisance sonore,"10 Rue des Tournelles, 75004 PARIS",75004,Paris 04,4,re - MARAIS - PLACE DES VOSGES,2023-09-05,2023,9,IOPage DMR Paris.fr application,DPMP-Divisions,A2023I012857,"{'type': 'Feature', 'geometry': {'coordinates': [2.367431163834502, 48.85427856360879], 'type': 'Point'}, 'properties': {}}","{'lon': 2.367431163834502, 'lat': 48.85427856360879}",2023-09
37332,Propreté,Propreté des équipements de collecte des déchets : [] Trilib' - Présence de sacs de gravas supérieurs à 300l,"133 Rue Saint-Antoine, 75004 PARIS",75004,Paris 04,4,re - SEINE,2024-07-11,2024,7,Android,Ramen,G2024G037332,"{'type': 'Feature', 'geometry': {'coordinates': [2.359956502982752, 48.85522460815773], 'type': 'Point'}, 'properties': {}}","{'lon': 2.359956502982752, 'lat': 48.85522460815773}",2024-07
34013,Mobiliers urbains,Collecte des déchets : [] Dépose d'une poubelle de rue,"3 Place Harvey Milk, 75004 PARIS",75004,Paris 04,4,re - MARAIS - ARCHIVES,2024-07-10,2024,7,IOPage DMR Paris.fr application,DPE-STPP-Fonctionnelle,A2024G034013,"{'type': 'Feature', 'geometry': {'coordinates': [2.3542053700311936, 48.857543944249436], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3542053700311936, 'lat': 48.857543944249436}",2024-07
45597,"Graffitis, tags, affiches et autocollants",Graffitis sur rideau métallique,"12 Rue des Filles du Calvaire, 75003 PARIS",75003,Paris 03,3,re - TEMPLE - ENFANTS ROUGES,2024-06-15,2024,6,IOPage DMR Paris.fr application,DPE-STPP-DT,A2024F045597,"{'type': 'Feature', 'geometry': {'coordinates': [2.3658933641344095, 48.862583159087734], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3658933641344095, 'lat': 48.862583159087734}",2024-06
27352,Propreté,Déjections canines,"7 Rue de la Lune, 75002 PARIS",75002,Paris 02,2,re - SENTIER - ARTS ET METIERS,2024-07-08,2024,7,Android,DPE-STPP-DT,G2024G027352,"{'type': 'Feature', 'geometry': {'coordinates': [2.3510084149687187, 48.86976623432327], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3510084149687187, 'lat': 48.86976623432327}",2024-07
35978,Objets abandonnés,Cartons ou sacs de déchets ménagers,"15 Rue de la Reynie, 75001 PARIS",75001,Paris 01,1,re - HALLES - BEAUBOURG - MONTORGUEIL,2024-07-11,2024,7,IOPage DMR Paris.fr application,DPE-STPP-DT,A2024G035978,"{'type': 'Feature', 'geometry': {'coordinates': [2.3495407100973686, 48.859870909725295], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3495407100973686, 'lat': 48.859870909725295}",2024-07
61184,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","7 Rue de l'Hôtel de ville, 75004 PARIS",75004,Paris 04,4,re - SEINE,2023-09-23,2023,9,IOPage DMR Paris.fr application,graffitis,A2023I061184,"{'type': 'Feature', 'geometry': {'coordinates': [2.3584668636130406, 48.853324888876145], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3584668636130406, 'lat': 48.853324888876145}",2023-09
54647,"Graffitis, tags, affiches et autocollants","Affiches, autocollants ou graffitis sur mobilier : Panneau routier ou signalétique","256 Rue de Rivoli, 75001 PARIS",75001,Paris 01,1,re - LOUVRE - OPERA,2023-10-19,2023,10,Android,graffitis,G2023J054647,"{'type': 'Feature', 'geometry': {'coordinates': [2.323847293824413, 48.866409300707], 'type': 'Point'}, 'properties': {}}","{'lon': 2.323847293824413, 'lat': 48.866409300707}",2023-10
9226,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","4 Passage du Ponceau, 75002 PARIS",75002,Paris 02,2,re - SENTIER - ARTS ET METIERS,2024-07-03,2024,7,IOPage DMR Paris.fr application,graffitis,A2024G009226,"{'type': 'Feature', 'geometry': {'coordinates': [2.3532943727010394, 48.86724853413204], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3532943727010394, 'lat': 48.86724853413204}",2024-07
72423,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","17 Rue du Pont aux Choux, 75003 PARIS",75003,Paris 03,3,re - MARAIS - PLACE DES VOSGES,2024-06-22,2024,6,Android,graffitis,G2024F072423,"{'type': 'Feature', 'geometry': {'coordinates': [2.365587472417191, 48.86105728096935], 'type': 'Point'}, 'properties': {}}","{'lon': 2.365587472417191, 'lat': 48.86105728096935}",2024-06
16380,Objets abandonnés,Cartons ou sacs de déchets ménagers,"45 Boulevard de Sébastopol, 75001 PARIS",75001,Paris 01,1,re - HALLES - BEAUBOURG - MONTORGUEIL,2024-07-05,2024,7,IOPage DMR Paris.fr application,DPE-STPP-DT,A2024G016380,"{'type': 'Feature', 'geometry': {'coordinates': [2.3498449320516643, 48.86172866697001], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3498449320516643, 'lat': 48.86172866697001}",2024-07
28768,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","2 Rue de la Coutellerie, 75004 PARIS",75004,Paris 04,4,re - SEINE,2024-07-09,2024,7,Android,graffitis,G2024G028768,"{'type': 'Feature', 'geometry': {'coordinates': [2.3506922719554737, 48.85747527939539], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3506922719554737, 'lat': 48.85747527939539}",2024-07
37143,Voirie et espace public,"Chaussées : Affaissement, trou, bosse, pavé arraché","30 Rue de Rivoli, 75004 PARIS",75004,Paris 04,4,re - MARAIS - PLACE DES VOSGES,2024-07-11,2024,7,IOPage DMR Paris.fr application,DVD,A2024G037143,"{'type': 'Feature', 'geometry': {'coordinates': [2.357683897187688, 48.856163024340646], 'type': 'Point'}, 'properties': {}}","{'lon': 2.357683897187688, 'lat': 48.856163024340646}",2024-07
69098,"Graffitis, tags, affiches et autocollants","Affiches, autocollants ou graffitis sur mobilier : Colonne à verre","3 Rue du Parc Royal, 75003 PARIS",75003,Paris 03,3,re - MARAIS - PLACE DES VOSGES,2023-10-24,2023,10,IOPage DMR Paris.fr application,DERICHEBOURG,A2023J069098,"{'type': 'Feature', 'geometry': {'coordinates': [2.3639118669914745, 48.858299254448994], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3639118669914745, 'lat': 48.858299254448994}",2023-10
38467,Propreté,Déchets et/ou salissures divers,"3 Rue Monjol, 75019 PARIS",75019,Paris 19,19,BAS - BELLEVILLE,2023-12-16,2023,12,Android,DPE-STPP-DT,G2023L038467,"{'type': 'Feature', 'geometry': {'coordinates': [2.374242782015482, 48.876518248301025], 'type': 'Point'}, 'properties': {}}","{'lon': 2.374242782015482, 'lat': 48.876518248301025}",2023-12
31838,Propreté,Déchets et/ou salissures divers,"8 rue Danielle Casanova, 75002 PARIS",75002,Paris 02,2,re - LOUVRE - OPERA,2024-07-09,2024,7,Page DMR Paris.fr,DPE-STPP-DT,S2024G031838,"{'type': 'Feature', 'geometry': {'coordinates': [2.3328437800128063, 48.86775970364008], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3328437800128063, 'lat': 48.86775970364008}",2024-07
34755,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","7 rue du Perche, 75003 PARIS",75003,Paris 03,3,re - MARAIS - ARCHIVES,2024-07-10,2024,7,Page DMR Paris.fr,graffitis,S2024G034755,"{'type': 'Feature', 'geometry': {'coordinates': [2.3613917826400637, 48.86071014348546], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3613917826400637, 'lat': 48.86071014348546}",2024-07
46309,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","Bourse du travail Rue Charlot, 75003 PARIS",75003,Paris 03,3,re - TEMPLE - ENFANTS ROUGES,2024-06-15,2024,6,Android,graffitis,G2024F046309,"{'type': 'Feature', 'geometry': {'coordinates': [2.3650035854011398, 48.8650550830206], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3650035854011398, 'lat': 48.8650550830206}",2024-06
77184,Propreté,Déchets et/ou salissures divers,"5 Rue Mornay, 75004 PARIS",75004,Paris 04,4,re - SEINE,2023-10-27,2023,10,Android,DPE-STPP-DT,G2023J077184,"{'type': 'Feature', 'geometry': {'coordinates': [2.3650386337249487, 48.84966659469595], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3650386337249487, 'lat': 48.84966659469595}",2023-10
35455,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","13 Rue Saint-Antoine, 75004 PARIS",75004,Paris 04,4,re - SEINE,2024-07-11,2024,7,Android,graffitis,G2024G035455,"{'type': 'Feature', 'geometry': {'coordinates': [2.36678767146697, 48.85332870347684], 'type': 'Point'}, 'properties': {}}","{'lon': 2.36678767146697, 'lat': 48.85332870347684}",2024-07
92910,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","3 Rue des Hospitalières Saint-Gervais, 75004 PARIS",75004,Paris 04,4,re - MARAIS - PLACE DES VOSGES,2024-06-28,2024,6,Android,graffitis,G2024F092910,"{'type': 'Feature', 'geometry': {'coordinates': [2.3590540883782483, 48.85812377869205], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3590540883782483, 'lat': 48.85812377869205}",2024-06
54981,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","10 Rue de Sévigné, 75004 PARIS",75004,Paris 04,4,re - MARAIS - PLACE DES VOSGES,2023-12-22,2023,12,Android,graffitis,G2023L054981,"{'type': 'Feature', 'geometry': {'coordinates': [2.3621952529694408, 48.855556487403035], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3621952529694408, 'lat': 48.855556487403035}",2023-12
37331,"Graffitis, tags, affiches et autocollants","Affiches, autocollants ou graffitis sur mobilier : Autre mobilier urbain tagué ou affiché","1 Boulevard Henri IV, 75004 PARIS",75004,Paris 04,4,re - SEINE,2024-07-11,2024,7,Android,graffitis,G2024G037331,"{'type': 'Feature', 'geometry': {'coordinates': [2.359092235737973, 48.85022735518165], 'type': 'Point'}, 'properties': {}}","{'lon': 2.359092235737973, 'lat': 48.85022735518165}",2024-07
57013,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","87 Rue de Turbigo, 75003 PARIS",75003,Paris 03,3,re - SENTIER - ARTS ET METIERS,2024-06-18,2024,6,IOPage DMR Paris.fr application,graffitis,A2024F057013,"{'type': 'Feature', 'geometry': {'coordinates': [2.3612840175327627, 48.86671829169231], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3612840175327627, 'lat': 48.86671829169231}",2024-06
54530,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","8 Rue Dussoubs, 75002 PARIS",75002,Paris 02,2,re - HALLES - BEAUBOURG - MONTORGUEIL,2023-10-19,2023,10,IOPage DMR Paris.fr application,graffitis,A2023J054530,"{'type': 'Feature', 'geometry': {'coordinates': [2.348567008827963, 48.864871977575405], 'type': 'Point'}, 'properties': {}}","{'lon': 2.348567008827963, 'lat': 48.864871977575405}",2023-10
25932,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","20 Rue du Plâtre, 75004 PARIS",75004,Paris 04,4,re - MARAIS - ARCHIVES,2023-11-11,2023,11,IOPage DMR Paris.fr application,graffitis,A2023K025932,"{'type': 'Feature', 'geometry': {'coordinates': [2.3543126577527693, 48.859554289395064], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3543126577527693, 'lat': 48.859554289395064}",2023-11
69421,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","8 Rue Charlot, 75003 PARIS",75003,Paris 03,3,re - MARAIS - ARCHIVES,2024-06-22,2024,6,Android,graffitis,G2024F069421,"{'type': 'Feature', 'geometry': {'coordinates': [2.360786914929795, 48.861225126820194], 'type': 'Point'}, 'properties': {}}","{'lon': 2.360786914929795, 'lat': 48.861225126820194}",2024-06
88972,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","8 Rue Bailly, 75003 PARIS",75003,Paris 03,3,re - TEMPLE - ENFANTS ROUGES,2024-06-27,2024,6,IOPage DMR Paris.fr application,graffitis,A2024F088972,"{'type': 'Feature', 'geometry': {'coordinates': [2.3558628565726765, 48.86529922434073], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3558628565726765, 'lat': 48.86529922434073}",2024-06
5948,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","1 Passage du Ponceau, 75002 PARIS",75002,Paris 02,2,re - SENTIER - ARTS ET METIERS,2023-12-03,2023,12,IOPage DMR Paris.fr application,graffitis,A2023L005948,"{'type': 'Feature', 'geometry': {'coordinates': [2.3530702590712456, 48.867134093054005], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3530702590712456, 'lat': 48.867134093054005}",2023-12
4475,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","10 Rue Aubriot, 75004 PARIS",75004,Paris 04,4,re - MARAIS - ARCHIVES,2024-07-02,2024,7,Android,graffitis,G2024G004475,"{'type': 'Feature', 'geometry': {'coordinates': [2.3571743968302745, 48.858505248439435], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3571743968302745, 'lat': 48.858505248439435}",2024-07
20102,Propreté,Déchets et/ou salissures divers,"1 Rue Chabanais, 75002 PARIS",75002,Paris 02,2,re - LOUVRE - OPERA,2023-12-09,2023,12,IOPage DMR Paris.fr application,DPE-STPP-DT,A2023L020102,"{'type': 'Feature', 'geometry': {'coordinates': [2.336555957451499, 48.86699294906236], 'type': 'Point'}, 'properties': {}}","{'lon': 2.336555957451499, 'lat': 48.86699294906236}",2023-12
15931,Éclairage / Électricité,"[] Armoire, boitier, coffret, trappe électrique de marché découvert alimentaire","4 Place Baudoyer, 75004 PARIS",75004,Paris 04,4,re - SEINE,2024-07-05,2024,7,IOPage DMR Paris.fr application,Marchés découverts alimentaires,A2024G015931,"{'type': 'Feature', 'geometry': {'coordinates': [2.3552277094684437, 48.85594177144253], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3552277094684437, 'lat': 48.85594177144253}",2024-07
