numero,type,soustype,adresse,code_postal,ville,arrondissement,conseilquartier,datedecl,anneedecl,moisdecl,prefixe,intervenant,id_dmr,geo_shape,geo_point_2d,mois_annee_decla
60685,Objets abandonnés,Autres objets encombrants abandonnés,"8 Place Franz Liszt, 75010 PARIS",75010,Paris 10,10,SAINT - VINCENT DE PAUL - LARIBOISIERE,2024-07-19,2024,7,Android,Ramen,G2024G060685,"{'type': 'Feature', 'geometry': {'coordinates': [2.351881742283987, 48.87807464500301], 'type': 'Point'}, 'properties': {}}","{'lon': 2.351881742283987, 'lat': 48.87807464500301}",2024-07
65006,Propreté,[] Présence de bombonne de protoxyde d’azote,"2 Rue Geoffroy-Marie, 75009 PARIS",75009,Paris 09,9,FAUBOURG MONTMARTRE,2024-04-23,2024,4,Android,DPE-STPP-DT,G2024D065006,"{'type': 'Feature', 'geometry': {'coordinates': [2.343441247526204, 48.87319564732584], 'type': 'Point'}, 'properties': {}}","{'lon': 2.343441247526204, 'lat': 48.87319564732584}",2024-04
2651,Objets abandonnés,Autres objets encombrants abandonnés,"3 Rue Louis Murat, 75008 PARIS",75008,Paris 08,8,MONCEAU,2024-08-02,2024,8,Android,Ramen,G2024H002651,"{'type': 'Feature', 'geometry': {'coordinates': [2.3091702463107664, 48.8759880060349], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3091702463107664, 'lat': 48.8759880060349}",2024-08
88031,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","11 Passage Ribet, 75015 PARIS",75015,Paris 15,15,CAMBRONNE - GARIBALDI,2024-05-31,2024,5,Android,graffitis,G2024E088031,"{'type': 'Feature', 'geometry': {'coordinates': [2.3000841144080075, 48.846000670813076], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3000841144080075, 'lat': 48.846000670813076}",2024-05
32798,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","243 Avenue Jean Jaurès, 75010 PARIS",75010,Paris 10,10,LOUIS BLANC - AQUEDUC,2024-08-14,2024,8,Android,graffitis,G2024H032798,"{'type': 'Feature', 'geometry': {'coordinates': [2.36886024448676, 48.88251876725756], 'type': 'Point'}, 'properties': {}}","{'lon': 2.36886024448676, 'lat': 48.88251876725756}",2024-08
25730,"Graffitis, tags, affiches et autocollants",Graffitis sur rideau métallique,"57 Rue de la Tour, 75116 PARIS",75116,Paris 16,16,MUETTE NORD,2024-03-09,2024,3,IOPage DMR Paris.fr application,DPE-STPP-DT,A2024C025730,"{'type': 'Feature', 'geometry': {'coordinates': [2.280186653513741, 48.860645292890375], 'type': 'Point'}, 'properties': {}}","{'lon': 2.280186653513741, 'lat': 48.860645292890375}",2024-03
83174,Propreté,Déchets et/ou salissures divers,"123 Boulevard du Montparnasse, 75006 PARIS",75006,Paris 06,6,NOTRE - DAME DES CHAMPS,2024-06-26,2024,6,Android,DPE-STPP-DT,G2024F083174,"{'type': 'Feature', 'geometry': {'coordinates': [2.330837488612944, 48.84169387743462], 'type': 'Point'}, 'properties': {}}","{'lon': 2.330837488612944, 'lat': 48.84169387743462}",2024-06
52825,Objets abandonnés,[] Objets appartenant à des personnes à la rue,"52 Place Adolphe Max, 75009 PARIS",75009,Paris 09,9,BLANCHE - TRINITE,2024-06-17,2024,6,IOPage DMR Paris.fr application,DPE-STPP-DT,A2024F052825,"{'type': 'Feature', 'geometry': {'coordinates': [2.3301723007057578, 48.883293151198195], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3301723007057578, 'lat': 48.883293151198195}",2024-06
32375,Objets abandonnés,Autres objets encombrants abandonnés,"1U Rue Albert Einstein, 75013 PARIS",75013,Paris 13,13,BIBLIOTHEQUE - SEINE,2024-08-14,2024,8,Android,Ramen,G2024H032375,"{'type': 'Feature', 'geometry': {'coordinates': [2.3824579711211418, 48.82620620613113], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3824579711211418, 'lat': 48.82620620613113}",2024-08
86166,Propreté,[] Patrouille propreté Fonctionnelle,"37 Avenue de la Porte de la Chapelle, 75018 PARIS",75018,Paris 18,18,CHARLES HERMITE - EVANGILE,2024-05-31,2024,5,Android,DPE-STPP-Fonctionnelle,G2024E086166,"{'type': 'Feature', 'geometry': {'coordinates': [2.358041524500083, 48.901317595779446], 'type': 'Point'}, 'properties': {}}","{'lon': 2.358041524500083, 'lat': 48.901317595779446}",2024-05
75383,Mobiliers urbains,Panneau d'information ou publicitaire : Plaque de nom de rue manquante ou cassée,"93 Rue de Montreuil, 75011 PARIS",75011,Paris 11,11,NATION - ALEXANDRE DUMAS,2023-12-31,2023,12,Android,SMEP,G2023L075383,"{'type': 'Feature', 'geometry': {'coordinates': [2.3929989339510893, 48.850540160409345], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3929989339510893, 'lat': 48.850540160409345}",2023-12
87848,Voirie et espace public,Panneaux routiers : Panneau endommagé,"3 Place d'Anvers, 75009 PARIS",75009,Paris 09,9,ANVERS - MONTHOLON,2024-05-31,2024,5,Android,DVD,G2024E087848,"{'type': 'Feature', 'geometry': {'coordinates': [2.3443202974857287, 48.88274383407821], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3443202974857287, 'lat': 48.88274383407821}",2024-05
52988,Objets abandonnés,Autres objets encombrants abandonnés,"117 Boulevard Mortier, 75020 PARIS",75020,Paris 20,20,TELEGRAPHE - PELLEPORT - SAINT-FARGEAU,2024-06-17,2024,6,Android,Ramen,G2024F052988,"{'type': 'Feature', 'geometry': {'coordinates': [2.4085438252242892, 48.87208557078176], 'type': 'Point'}, 'properties': {}}","{'lon': 2.4085438252242892, 'lat': 48.87208557078176}",2024-06
53162,Propreté,Propreté du sol : Feuilles mortes,"85 Rue Louis Lumière, 75020 PARIS",75020,Paris 20,20,GAMBETTA,2024-06-17,2024,6,IOPage DMR Paris.fr application,DPE-STPP-DT,A2024F053162,"{'type': 'Feature', 'geometry': {'coordinates': [2.410427092887635, 48.86429977286553], 'type': 'Point'}, 'properties': {}}","{'lon': 2.410427092887635, 'lat': 48.86429977286553}",2024-06
52998,Voirie et espace public,Panneaux routiers : Panneau mal orienté,"83 Avenue Victor Hugo, 75116 PARIS",75116,Paris 16,16,CHAILLOT,2024-06-17,2024,6,Android,DVD,G2024F052998,"{'type': 'Feature', 'geometry': {'coordinates': [2.2867553232564632, 48.870037078144456], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2867553232564632, 'lat': 48.870037078144456}",2024-06
3798,Propreté,Déchets et/ou salissures divers,"104 Rue du Faubourg Saint-Denis, 75010 PARIS",75010,Paris 10,10,PORTE SAINT-DENIS - PARADIS,2024-08-02,2024,8,IOPage DMR Paris.fr application,DPE-STPP-DT,A2024H003798,"{'type': 'Feature', 'geometry': {'coordinates': [2.3559184077511888, 48.8749008171916], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3559184077511888, 'lat': 48.8749008171916}",2024-08
3898,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","60 Rue La Fayette, 75009 PARIS",75009,Paris 09,9,FAUBOURG MONTMARTRE,2024-08-02,2024,8,Android,graffitis,G2024H003898,"{'type': 'Feature', 'geometry': {'coordinates': [2.3427445888494765, 48.87545776293768], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3427445888494765, 'lat': 48.87545776293768}",2024-08
3774,Objets abandonnés,Autres objets encombrants abandonnés,"62 Boulevard de Charonne, 75020 PARIS",75020,Paris 20,20,REUNION - PERE LACHAISE,2024-08-02,2024,8,Android,Ramen,G2024H003774,"{'type': 'Feature', 'geometry': {'coordinates': [2.3977923399246497, 48.85238265927722], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3977923399246497, 'lat': 48.85238265927722}",2024-08
65263,Eau,"Autres problèmes d'eau : [] Bouche de lavage, d'arrosage ou de remplissage avec carré hors-service","27 Rue de la Saïda, 75015 PARIS",75015,Paris 15,15,GEORGES BRASSENS,2024-04-23,2024,4,Android,EPHYRA,G2024D065263,"{'type': 'Feature', 'geometry': {'coordinates': [2.2965507500853857, 48.83179092329105], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2965507500853857, 'lat': 48.83179092329105}",2024-04
