Ville,Nombre_declarations_ville,Type d'anomalie,Nombre_declarations_anomalie,Mois,Type_d_anomalie,Nombre_declarations
,,,,2024-07,Activités commerciales et professionnelles,27
,,,,2024-07,"Arbres, végétaux et animaux",30
,,,,2024-07,"Autos, motos, vélos, trottinettes...",53
,,,,2024-07,Eau,11
,,,,2024-07,"Graffitis, tags, affiches et autocollants",402
,,,,2024-07,Mobiliers urbains,36
,,,,2024-07,Objets abandonnés,661
,,,,2024-07,Propreté,240
,,,,2024-07,Voirie et espace public,58
,,,,2024-07,Éclairage / Électricité,12
,,,,2024-08,Activités commerciales et professionnelles,7
,,,,2024-08,"Arbres, végétaux et animaux",7
,,,,2024-08,"Autos, motos, vélos, trottinettes...",12
,,,,2024-08,Eau,3
,,,,2024-08,"Graffitis, tags, affiches et autocollants",80
,,,,2024-08,Mobiliers urbains,11
,,,,2024-08,Objets abandonnés,61
,,,,2024-08,Propreté,115
,,,,2024-08,Voirie et espace public,10
,,,,2024-08,Éclairage / Électricité,4
,,,,2024-09,"Arbres, végétaux et animaux",1
,,,,2024-09,"Graffitis, tags, affiches et autocollants",18
,,,,2024-09,Mobiliers urbains,1
,,,,2024-09,Objets abandonnés,2
,,,,2024-09,Propreté,2
,,,,2024-09,Éclairage / Électricité,1
